Entity,Code,Day,p_proj_all_ages
Albania,ALB,2020-01-31,-10.16
Albania,ALB,2020-02-29,2.88
Albania,ALB,2020-03-31,1.31
Albania,ALB,2020-04-30,4.04
Albania,ALB,2020-05-31,7
Albania,ALB,2020-06-30,10.22
Albania,ALB,2020-07-31,23.69
Albania,ALB,2020-08-31,46.11
Albania,ALB,2020-09-30,30.55
Albania,ALB,2020-10-31,45.55
Albania,ALB,2020-11-30,120.15
Albania,ALB,2020-12-31,54.6
Albania,ALB,2021-01-31,23.56
Albania,ALB,2021-02-28,92.8
Albania,ALB,2021-03-31,75.63
Albania,ALB,2021-04-30,39.88
Albania,ALB,2021-05-31,11.52
Albania,ALB,2021-06-30,13.21
Albania,ALB,2021-07-31,4.2
Albania,ALB,2021-08-31,23.08
Albania,ALB,2021-09-30,65.57
Albania,ALB,2021-10-31,55.43
Albania,ALB,2021-11-30,43.53
Albania,ALB,2021-12-31,36.79
Algeria,DZA,2020-01-31,-2.49
Algeria,DZA,2020-02-29,-0.61
Algeria,DZA,2020-03-31,0.3
Algeria,DZA,2020-04-30,1.07
Algeria,DZA,2020-05-31,-0.11
Algeria,DZA,2020-06-30,24.94
Algeria,DZA,2020-07-31,110.72
Algeria,DZA,2020-08-31,53.42
Algeria,DZA,2020-09-30,19.15
Algeria,DZA,2020-10-31,22.03
Algeria,DZA,2020-11-30,68.24
Algeria,DZA,2020-12-31,29.47
Andorra,AND,2020-01-31,-1.73
Andorra,AND,2020-02-29,32.14
Andorra,AND,2020-03-31,23.46
Andorra,AND,2020-04-30,145.9
Andorra,AND,2020-05-31,66.67
Andorra,AND,2020-06-30,0.78
Andorra,AND,2020-07-31,5.84
Andorra,AND,2020-08-31,-24.6
Andorra,AND,2020-09-30,7.14
Andorra,AND,2020-10-31,86.13
Andorra,AND,2020-11-30,-27.48
Andorra,AND,2020-12-31,31.41
Antigua and Barbuda,ATG,2020-01-31,6.61
Antigua and Barbuda,ATG,2020-02-29,-15.32
Antigua and Barbuda,ATG,2020-03-31,0.17
Antigua and Barbuda,ATG,2020-04-30,-0.61
Antigua and Barbuda,ATG,2020-05-31,1.76
Antigua and Barbuda,ATG,2020-06-30,-17.81
Antigua and Barbuda,ATG,2020-07-31,-2.34
Antigua and Barbuda,ATG,2020-08-31,-25.55
Antigua and Barbuda,ATG,2020-09-30,-14.29
Antigua and Barbuda,ATG,2020-10-31,-11.5
Antigua and Barbuda,ATG,2020-11-30,-7.02
Antigua and Barbuda,ATG,2020-12-31,-20.16
Argentina,ARG,2020-01-31,-2.94
Argentina,ARG,2020-02-29,2
Argentina,ARG,2020-03-31,-1.06
Argentina,ARG,2020-04-30,-3.49
Argentina,ARG,2020-05-31,-5.97
Argentina,ARG,2020-06-30,-12.66
Argentina,ARG,2020-07-31,4.87
Argentina,ARG,2020-08-31,16.59
Argentina,ARG,2020-09-30,37.07
Argentina,ARG,2020-10-31,51.96
Argentina,ARG,2020-11-30,40.08
Argentina,ARG,2020-12-31,28.58
Armenia,ARM,2020-01-31,-0.73
Armenia,ARM,2020-02-29,8.73
Armenia,ARM,2020-03-31,-0.86
Armenia,ARM,2020-04-30,3.72
Armenia,ARM,2020-05-31,-0.46
Armenia,ARM,2020-06-30,48.15
Armenia,ARM,2020-07-31,35.28
Armenia,ARM,2020-08-31,8.47
Armenia,ARM,2020-09-30,22.28
Armenia,ARM,2020-10-31,84.04
Armenia,ARM,2020-11-30,178.61
Armenia,ARM,2020-12-31,89.69
Armenia,ARM,2021-01-31,18.72
Armenia,ARM,2021-02-28,10.35
Armenia,ARM,2021-03-31,25.45
Armenia,ARM,2021-04-30,65.44
Armenia,ARM,2021-05-31,27.48
Armenia,ARM,2021-06-30,21.21
Armenia,ARM,2021-07-31,14.49
Armenia,ARM,2021-08-31,18.3
